date,air_defense,aircraft,artillery_systems,bbm,cruise_missiles,helicopters,rszv,ships,special_equipment,submarines,tanks,uavs,vehicles,personnel
09.04.2024,2.0,0,30.0,45.0,0.0,0,0.0,0.0,1.0,0.0,23.0,37.0,71.0,850
08.04.2024,2.0,0,40.0,24.0,1.0,0,3.0,0.0,3.0,0.0,13.0,40.0,39.0,890
07.04.2024,0.0,0,54.0,54.0,4.0,0,4.0,0.0,10.0,0.0,17.0,61.0,79.0,820
06.04.2024,2.0,0,41.0,38.0,1.0,0,3.0,0.0,5.0,0.0,24.0,48.0,70.0,790
05.04.2024,1.0,0,50.0,73.0,0.0,0,3.0,0.0,4.0,0.0,15.0,30.0,61.0,860
04.04.2024,1.0,0,29.0,18.0,0.0,0,1.0,0.0,7.0,0.0,9.0,21.0,48.0,670
03.04.2024,1.0,0,30.0,18.0,1.0,0,2.0,0.0,6.0,0.0,11.0,17.0,30.0,710
02.04.2024,0.0,0,30.0,29.0,1.0,0,0.0,0.0,6.0,0.0,12.0,22.0,31.0,780
01.04.2024,1.0,0,32.0,17.0,9.0,0,0.0,0.0,3.0,0.0,20.0,26.0,35.0,710
31.03.2024,7.0,0,44.0,20.0,2.0,0,0.0,0.0,9.0,0.0,15.0,30.0,47.0,650
30.03.2024,1.0,0,15.0,20.0,24.0,0,0.0,0.0,7.0,0.0,29.0,45.0,25.0,730
29.03.2024,6.0,0,28.0,27.0,5.0,0,2.0,0.0,7.0,0.0,8.0,56.0,50.0,820
28.03.2024,1.0,0,32.0,21.0,2.0,0,2.0,0.0,6.0,0.0,10.0,22.0,56.0,780
27.03.2024,1.0,0,27.0,9.0,1.0,0,0.0,0.0,5.0,0.0,11.0,25.0,41.0,1030
26.03.2024,1.0,0,27.0,24.0,4.0,0,1.0,0.0,4.0,0.0,6.0,14.0,44.0,770
25.03.2024,3.0,0,22.0,25.0,18.0,0,0.0,0.0,7.0,0.0,11.0,29.0,47.0,640
24.03.2024,0.0,0,44.0,28.0,0.0,0,0.0,0.0,10.0,0.0,24.0,47.0,63.0,990
23.03.2024,0.0,0,36.0,19.0,39.0,0,0.0,0.0,19.0,0.0,12.0,75.0,57.0,1050
22.03.2024,2.0,0,35.0,37.0,31.0,0,0.0,0.0,8.0,0.0,8.0,23.0,45.0,870
21.03.2024,0.0,0,26.0,16.0,0.0,0,1.0,0.0,3.0,0.0,4.0,10.0,44.0,750
20.03.2024,0.0,0,16.0,9.0,0.0,0,0.0,0.0,3.0,0.0,9.0,37.0,7.0,700
19.03.2024,1.0,0,30.0,35.0,0.0,0,0.0,0.0,4.0,0.0,10.0,10.0,50.0,840
18.03.2024,0.0,0,34.0,17.0,0.0,0,0.0,0.0,8.0,0.0,19.0,36.0,68.0,810
17.03.2024,1.0,0,28.0,24.0,0.0,0,0.0,0.0,11.0,0.0,11.0,4.0,49.0,1160
16.03.2024,2.0,0,26.0,24.0,2.0,0,0.0,0.0,1.0,0.0,21.0,14.0,31.0,1160
15.03.2024,0.0,0,15.0,11.0,0.0,0,0.0,0.0,3.0,0.0,1.0,34.0,34.0,580
14.03.2024,2.0,0,11.0,17.0,1.0,0,0.0,0.0,9.0,0.0,5.0,15.0,27.0,970
13.03.2024,2.0,0,32.0,20.0,0.0,0,1.0,0.0,8.0,0.0,5.0,22.0,62.0,980
12.03.2024,2.0,0,23.0,27.0,0.0,0,0.0,0.0,5.0,0.0,8.0,42.0,44.0,910
11.03.2024,2.0,0,33.0,24.0,0.0,0,1.0,0.0,14.0,0.0,8.0,59.0,74.0,920
10.03.2024,2.0,0,38.0,27.0,0.0,0,3.0,0.0,6.0,0.0,19.0,41.0,69.0,900
09.03.2024,3.0,0,53.0,25.0,0.0,0,1.0,0.0,10.0,0.0,6.0,43.0,85.0,850
08.03.2024,3.0,0,25.0,19.0,0.0,0,2.0,0.0,9.0,0.0,11.0,35.0,66.0,880
07.03.2024,0.0,0,42.0,51.0,1.0,0,1.0,0.0,5.0,0.0,17.0,42.0,53.0,1160
06.03.2024,1.0,0,50.0,40.0,1.0,0,1.0,0.0,12.0,0.0,21.0,58.0,56.0,1250
05.03.2024,2.0,0,48.0,28.0,1.0,0,3.0,0.0,9.0,0.0,9.0,18.0,49.0,1070
04.03.2024,2.0,0,22.0,21.0,1.0,0,1.0,0.0,1.0,0.0,8.0,2.0,42.0,1150
03.03.2024,0.0,1,35.0,28.0,0.0,0,0.0,0.0,3.0,0.0,16.0,14.0,65.0,1160
02.03.2024,5.0,1,47.0,29.0,3.0,0,3.0,0.0,6.0,0.0,14.0,35.0,61.0,960
01.03.2024,1.0,3,36.0,30.0,0.0,0,0.0,0.0,10.0,0.0,17.0,26.0,54.0,920
29.02.2024,2.0,0,41.0,44.0,0.0,0,0.0,0.0,7.0,0.0,23.0,15.0,40.0,1150
28.02.2024,2.0,2,20.0,14.0,0.0,0,0.0,0.0,6.0,0.0,14.0,24.0,47.0,1060
27.02.2024,0.0,0,16.0,16.0,2.0,0,0.0,0.0,8.0,0.0,1.0,22.0,28.0,850
26.02.2024,2.0,0,12.0,37.0,3.0,0,1.0,0.0,2.0,0.0,13.0,26.0,26.0,880
25.02.2024,0.0,0,29.0,16.0,2.0,0,0.0,0.0,2.0,0.0,8.0,22.0,23.0,810
24.02.2024,2.0,1,36.0,15.0,2.0,0,0.0,0.0,1.0,0.0,8.0,31.0,28.0,770
23.02.2024,2.0,0,49.0,37.0,0.0,0,2.0,0.0,9.0,0.0,3.0,32.0,36.0,1000
22.02.2024,2.0,1,41.0,35.0,0.0,0,5.0,0.0,8.0,0.0,7.0,36.0,63.0,1160
21.02.2024,3.0,0,53.0,70.0,1.0,0,4.0,0.0,7.0,0.0,13.0,39.0,56.0,1130
20.02.2024,1.0,2,40.0,36.0,4.0,0,2.0,0.0,6.0,0.0,5.0,61.0,38.0,1230
19.02.2024,0.0,1,24.0,34.0,0.0,0,2.0,0.0,5.0,0.0,11.0,11.0,31.0,1290
18.02.2024,3.0,3,40.0,53.0,2.0,0,0.0,0.0,7.0,0.0,11.0,36.0,2.0,1080
17.02.2024,0.0,0,28.0,16.0,1.0,0,0.0,0.0,5.0,0.0,11.0,5.0,18.0,1050
16.02.2024,0.0,0,21.0,39.0,13.0,0,0.0,0.0,4.0,0.0,23.0,4.0,25.0,1210
15.02.2024,0.0,0,54.0,47.0,0.0,0,0.0,0.0,1.0,0.0,9.0,33.0,29.0,950
14.02.2024,4.0,0,66.0,39.0,0.0,0,3.0,0.0,5.0,0.0,9.0,39.0,39.0,1060
13.02.2024,1.0,0,19.0,27.0,0.0,0,0.0,0.0,4.0,0.0,8.0,30.0,24.0,1090
12.02.2024,0.0,0,6.0,21.0,1.0,0,0.0,0.0,1.0,0.0,10.0,45.0,7.0,790
11.02.2024,0.0,0,16.0,14.0,0.0,0,0.0,0.0,1.0,0.0,12.0,22.0,13.0,930
10.02.2024,0.0,0,24.0,21.0,0.0,0,0.0,0.0,3.0,0.0,9.0,26.0,28.0,980
